127.0.0.1, 2015-06-25 09:44:06, GET, /admin/static/_2.11.2/images/help.png, HTTP/1.1, 200, 0.001576
127.0.0.1, 2015-06-25 09:44:06, GET, /admin/static/_2.11.2/images/delete_icon.png, HTTP/1.1, 200, 0.000957
127.0.0.1, 2015-06-25 09:44:06, GET, /admin/static/_2.11.2/images/test_icon.png, HTTP/1.1, 200, 0.001098
127.0.0.1, 2015-06-25 09:44:06, GET, /admin/static/_2.11.2/images/search.png, HTTP/1.1, 200, 0.000539
127.0.0.1, 2015-06-25 09:44:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000332
127.0.0.1, 2015-06-25 09:44:38, GET, /admin/default/index, HTTP/1.1, 303, 0.008044
127.0.0.1, 2015-06-25 09:44:38, GET, /admin/default/site, HTTP/1.1, 200, 0.046832
127.0.0.1, 2015-06-25 09:44:38, GET, /favicon.ico, HTTP/1.1, 400, 0.000322
127.0.0.1, 2015-06-25 09:44:41, GET, /rpctest/default/index, HTTP/1.1, 200, 0.110251
127.0.0.1, 2015-06-25 09:44:41, GET, /rpctest/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.001974
127.0.0.1, 2015-06-25 09:44:41, GET, /rpctest/static/css/calendar.css, HTTP/1.1, 200, 0.001479
127.0.0.1, 2015-06-25 09:44:41, GET, /rpctest/static/js/jquery.js, HTTP/1.1, 200, 0.001240
127.0.0.1, 2015-06-25 09:44:41, GET, /rpctest/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.002717
127.0.0.1, 2015-06-25 09:44:41, GET, /rpctest/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002365
127.0.0.1, 2015-06-25 09:44:41, GET, /rpctest/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001117
127.0.0.1, 2015-06-25 09:44:41, GET, /rpctest/static/js/web2py.js, HTTP/1.1, 200, 0.000540
127.0.0.1, 2015-06-25 09:44:41, GET, /rpctest/static/js/calendar.js, HTTP/1.1, 200, 0.001609
127.0.0.1, 2015-06-25 09:44:41, GET, /rpctest/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000465
127.0.0.1, 2015-06-25 09:44:41, GET, /rpctest/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000524
127.0.0.1, 2015-06-25 09:44:41, GET, /rpctest/static/js/share.js, HTTP/1.1, 200, 0.000526
127.0.0.1, 2015-06-25 09:44:41, GET, /rpctest/static/images/background.jpg, HTTP/1.1, 200, 0.001227
127.0.0.1, 2015-06-25 09:44:41, GET, /rpctest/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000596
